3;4;35
4;4;26
3;6;18
4;5;17
4;7;24
3;5;18
3;5;26
2;6;22
3;5;24
2;6;28
3;6;24
3;6;24
3;5;23
3;5;10
2;4;12
3;6;28
2;6;9
3;4;7
3;6;32
3;5;23
2;6;17
3;5;29
4;4;42
2;6;28
3;5;26
3;4;33
4;4;32
4;7;23
4;6;21
2;7;17
5;5;27
3;6;35
3;5;27
3;6;33
3;5;24
3;6;17
2;5;32
3;6;43
4;5;27
2;4;25
3;7;23
2;5;17
4;4;9
2;6;21
3;6;23
3;6;10
2;6;26
3;3;35
3;6;42
2;6;16
5;5;40
3;6;13
3;6;14
2;4;34
2;4;44
4;6;25
3;4;37
3;5;15
4;4;12
2;6;4
3;6;13
3;4;31
2;6;21
3;5;23
2;5;29
3;6;14
4;5;24
2;5;21
3;5;21
3;5;17
3;5;17
3;5;12
3;5;19
2;5;24
3;5;25
3;5;2
3;5;30
4;5;26
3;5;24
3;6;31
4;4;12
3;5;11
3;5;16
4;4;18
2;5;21
3;4;38
2;4;10
4;4;25
2;6;13
3;5;35
3;7;16
4;4;8
2;5;33
3;6;43
3;4;32
3;5;23
3;4;9
4;7;11
3;6;11
3;4;11
