5;8;10
4;10;10
2;7;9
4;8;14
2;8;16
4;6;11
4;8;11
4;6;13
6;5;12
6;5;17
2;6;11
6;6;11
6;6;13
6;9;20
6;4;14
4;3;17
3;5;10
3;9;11
5;7;11
3;4;14
2;5;7
1;4;18
3;5;10
3;7;13
3;5;13
3;5;15
7;7;15
2;3;15
6;11;10
5;9;10
5;6;8
5;7;9
6;4;14
2;8;6
6;8;11
5;7;5
5;9;6
2;8;8
4;6;11
2;5;19
3;4;13
4;6;11
2;5;12
5;8;16
2;6;12
3;5;15
4;10;12
6;4;12
5;9;8
6;7;16
6;10;16
5;2;9
4;3;14
5;10;9
3;8;9
1;7;15
3;8;8
4;6;12
5;3;12
3;8;12
5;8;9
5;3;10
4;6;8
4;3;13
2;4;11
4;5;12
4;6;13
3;6;11
2;9;10
4;3;9
6;9;12
4;8;10
4;7;11
3;7;17
5;9;13
4;7;7
1;6;15
5;8;12
7;8;11
2;8;13
4;7;12
5;6;12
2;7;11
2;4;13
5;8;11
1;8;12
3;8;10
5;4;12
6;7;9
2;7;17
4;3;11
4;5;12
3;6;12
4;6;10
6;5;13
6;6;13
3;3;14
3;7;14
5;8;15
3;3;12
