1;17;8
2;7;19
0;2;15
2;11;14
1;7;10
2;6;11
1;5;5
1;6;21
0;4;28
1;5;28
2;9;31
0;5;30
0;7;26
0;6;33
1;7;25
0;4;25
1;5;25
0;7;30
5;6;29
3;10;28
5;5;28
5;5;27
6;3;20
9;7;28
3;6;30
1;8;31
3;8;30
0;8;30
1;8;29
0;8;37
1;4;31
5;8;33
9;5;32
10;7;28
2;5;29
0;6;34
0;6;31
4;6;33
4;7;33
3;8;34
4;6;29
0;4;26
1;8;33
1;8;28
2;7;30
0;7;28
2;11;26
1;5;28
3;8;25
3;6;23
4;6;26
4;5;27
5;6;27
0;9;25
3;8;27
2;8;31
3;8;22
2;8;20
6;6;19
7;8;30
4;5;27
2;8;36
6;7;33
2;6;32
3;10;32
0;7;27
1;7;27
3;9;28
2;6;32
1;7;23
2;7;30
2;8;29
1;6;22
4;8;29
5;5;29
0;7;28
2;5;31
2;5;28
2;7;28
1;7;25
2;8;32
2;8;23
2;7;23
0;8;19
4;7;23
1;8;28
1;6;26
5;9;30
2;7;30
2;8;20
0;8;25
2;7;20
4;6;30
2;8;26
3;1;25
1;7;24
5;6;28
0;2;28
8;4;32
8;6;29
