1,101
2,221
3,222
4,221
5,223
7,222
8,242
9,221
10,242
11,221
12,222
14,221
15,221
16,242
17,222
18,242
19,221
20,241
21,223
22,221
23,241
24,222
1,241
2,223
3,221
4,241
5,223
6,221
7,221
9,222
10,222
11,221
13,221
14,221
15,243
17,222
18,242
19,221
20,262
21,221
22,242
23,222
24,242
25,242
1,241
2,221
3,242
4,242
5,241
6,242
7,221
8,242
10,222
11,242
12,242
13,221
14,262
15,221
17,221
19,221
20,241
22,221
24,221
25,262
26,221
2,222
3,241
5,222
6,242
8,222
9,242
10,242
11,221
12,242
13,241
14,242
15,222
16,242
17,221
18,242
19,221
21,223
22,241
23,221
24,222
25,241
1,222
2,222
4,221
5,242
6,222
7,242
8,221
9,221
10,222
11,222
12,221
14,222
15,222
17,221
