4;4;31
3;3;34
4;5;31
4;5;32
6;3;31
4;5;31
5;2;31
4;4;31
7;6;34
3;4;32
4;5;33
4;4;32
6;5;33
6;6;33
3;5;30
4;5;31
6;0;32
3;4;34
6;0;28
4;4;30
6;4;30
6;8;32
4;5;31
4;4;34
5;3;32
6;6;32
6;3;32
6;2;32
5;3;30
4;4;30
7;2;32
3;6;32
5;0;32
3;5;33
3;3;32
3;3;33
3;2;33
7;3;31
8;8;32
5;2;31
4;4;32
3;2;31
4;4;35
4;4;32
3;2;32
4;2;33
4;6;34
5;6;33
6;4;33
6;4;34
5;5;34
5;2;32
5;1;36
4;4;33
5;9;32
6;3;30
5;4;33
5;6;34
3;4;32
5;5;27
5;7;30
3;4;33
5;8;34
3;3;33
4;5;33
5;3;32
4;2;32
5;4;32
7;2;33
3;6;31
2;3;31
1;2;32
4;2;33
5;3;33
3;6;34
4;5;33
4;4;29
4;5;29
8;5;30
4;3;34
0;4;31
5;5;31
4;9;32
6;2;32
6;3;31
4;4;34
2;5;32
1;4;35
2;0;31
4;3;29
4;5;31
6;6;30
3;3;31
3;2;31
5;3;33
6;2;31
4;3;34
4;4;31
4;2;32
6;5;28
