1,597
3,588
1,263
2,283
3,303
4,1185
5,284
6,304
7,273
8,284
9,303
10,567
1,1134
2,304
3,274
4,283
5,294
6,284
7,294
8,283
9,303
10,274
11,294
12,283
13,294
14,284
15,304
16,273
17,294
1,1144
2,284
3,283
4,568
5,303
6,567
7,86
8,578
9,283
10,284
1,87
2,284
3,304
4,274
5,86
6,283
7,305
8,273
9,293
10,273
11,304
12,557
1,568
2,303
3,274
4,283
5,567
6,304
7,274
8,1154
9,283
10,284
11,87
1,274
2,304
3,577
4,1133
5,304
6,557
7,304
8,274
9,566
10,304
11,284
1,294
2,283
3,294
4,284
5,1447
6,283
7,305
8,273
9,284
10,294
1,173
2,578
3,293
4,577
5,294
6,881
7,304
8,282
9,304
10,305
11,304
1,303
2,598
3,303
4,294
5,588
6,303
7,314
8,284
