1,374
2,396
3,395
4,394
5,801
6,8
7,8
8,396
9,395
10,395
11,394
12,1936
13,395
14,385
15,395
16,396
17,789
1,791
2,395
3,395
4,395
5,395
6,395
7,395
8,395
9,396
10,395
11,385
12,395
13,385
14,781
15,395
16,1133
17,376
18,385
19,375
20,76
21,375
1,385
2,759
3,76
4,385
5,76
6,1114
7,739
8,75
9,1124
10,365
11,375
12,375
13,375
14,74
15,374
16,375
1,375
2,75
3,749
4,375
5,1135
6,374
7,385
8,386
9,375
10,1144
11,376
12,759
13,759
14,386
15,375
16,385
17,375
18,76
1,375
2,374
3,385
4,375
5,385
6,375
7,76
8,76
9,1134
10,375
11,385
12,375
13,76
14,374
15,76
16,76
17,76
1,76
2,385
3,2704
4,385
5,385
6,385
7,78
8,396
9,759
10,1144
11,76
